🌹防失联,#genre#
请关注,https://tv.youdu.fan:666/mtv/一路生花.MP4
公众号,https://tv.youdu.fan:666/mtv/一条路.MP4
有毒科技240412,https://tv.youdu.fan:666/mtv/一剪梅.MP4

📡央视频道,#genre#

CCTV1,http://112.89.45.21/PLTV/88888973/224/3221225767/10000100000000060000000000337109_0.smil/01.m3u8?fmt=ts2hls
CCTV2,http://112.89.45.21/PLTV/88888973/224/3221226350/10000100000000060000000001464865_0.smil/01.m3u8?fmt=ts2hls
CCTV3,http://112.89.45.21/PLTV/88888973/224/3221226356/10000100000000060000000001481216_0.smil/01.m3u8?fmt=ts2hls
CCTV4,http://112.89.45.21/PLTV/88888973/224/3221226352/10000100000000060000000001464824_0.smil/01.m3u8?fmt=ts2hls
CCTV5,http://112.89.45.23/PLTV/88888973/224/3221226351/10000100000000060000000001464856_0.smil/01.m3u8?fmt=ts2hls
CCTV6,http://112.89.45.21/PLTV/88888973/224/3221225749/10000100000000060000000000334584_0.smil/01.m3u8?fmt=ts2hls
CCTV7,http://112.89.45.21/PLTV/88888973/224/3221226349/10000100000000060000000001464866_0.smil/01.m3u8?fmt=ts2hls
CCTV8,http://112.89.45.23/PLTV/88888973/224/3221225747/10000100000000060000000000334581_0.smil/01.m3u8?fmt=ts2hls
CCTV9,http://112.89.45.22/PLTV/88888973/224/3221225745/10000100000000060000000000334569_0.smil/01.m3u8?fmt=ts2hls
CCTV10,http://27.41.249.50:801/hls/506/index.m3u8
CCTV11,http://112.89.45.24/PLTV/88888973/224/3221225742/10000100000000060000000000334548_0.smil/01.m3u8?fmt=ts2hls
CCTV12,http://112.89.45.21/PLTV/88888973/224/3221225751/10000100000000060000000000334589_0.smil/01.m3u8?fmt=ts2hls
CCTV13,http://112.89.38.23/PLTV/88888973/224/3221225740/10000100000000060000000000334546_0.smil/01.m3u8?fmt=ts2hls
CCTV14,http://112.89.45.21/PLTV/88888973/224/3221225756/10000100000000060000000000334620_0.smil/01.m3u8?fmt=ts2hls
CCTV15,http://112.89.45.21/PLTV/88888973/224/3221226566/10000100000000060000000001504118_0.smil/01.m3u8?fmt=ts2hls
CCTV17,http://playtv-live.ifeng.com/live/06OLEEWQKN4.flv#rtmp://playtv-live.ifeng.com/live/06OLEEWQKN4
CCTV11,http://172.16.8.212:801/hls/81/index.m3u8#http://27.41.250.10:801/hls/81/index.m3u8
CCTV1,http://123.14.88.117:8888/hls/1/index.m3u8
CCTV2,http://123.14.88.117:8888/hls/2/index.m3u8
CCTV3,http://123.14.88.117:8888/hls/3/index.m3u8
CCTV4,http://123.14.88.117:8888/hls/4/index.m3u8
CCTV5,http://123.14.88.117:8888/hls/5/index.m3u8
CCTV6,http://123.14.88.117:8888/hls/6/index.m3u8
CCTV7,http://123.14.88.117:8888/hls/7/index.m3u8
CCTV8,http://123.14.88.117:8888/hls/8/index.m3u8
CCTV9,http://123.14.88.117:8888/hls/9/index.m3u8
CCTV10,http://123.14.88.117:8888/hls/10/index.m3u8
CCTV11,http://123.14.88.117:8888/hls/11/index.m3u8
CCTV12,http://123.14.88.117:8888/hls/12/index.m3u8
CCTV13,http://123.14.88.117:8888/hls/13/index.m3u8
CCTV14,http://123.14.88.117:8888/hls/14/index.m3u8
CCTV15,http://123.14.88.117:8888/hls/15/index.m3u8
CCTV5,http://123.14.88.117:8888/hls/16/index.m3u8
CCTV1,http://121.24.98.186:8090/hls/9/index.m3u8
CCTV2,http://121.24.98.186:8090/hls/10/index.m3u8
CCTV3,http://121.24.98.186:8090/hls/11/index.m3u8
CCTV4,http://121.24.98.186:8090/hls/12/index.m3u8
CCTV5,http://121.24.98.186:8090/hls/13/index.m3u8
CCTV6,http://121.24.98.186:8090/hls/14/index.m3u8
CCTV17,http://121.24.98.186:8090/hls/15/index.m3u8
CCTV8,http://121.24.98.186:8090/hls/16/index.m3u8
CCTV9,http://121.24.98.186:8090/hls/17/index.m3u8
CCTV10,http://121.24.98.186:8090/hls/18/index.m3u8
CCTV11,http://121.24.98.186:8090/hls/19/index.m3u8
CCTV12,http://121.24.98.186:8090/hls/20/index.m3u8
CCTV13,http://121.24.98.186:8090/hls/21/index.m3u8
CCTV14,http://121.24.98.186:8090/hls/22/index.m3u8
CCTV15,http://121.24.98.186:8090/hls/23/index.m3u8
CCTV中学生,http://121.24.98.186:8090/hls/24/index.m3u8
CETV1,http://121.24.98.186:8090/hls/67/index.m3u8
CCTV5,http://121.24.98.186:8090/hls/5/index.m3u8
CCTV1,http://121.24.98.71:8090/hls/9/index.m3u8
CCTV2,http://121.24.98.71:8090/hls/10/index.m3u8
CCTV3,http://121.24.98.71:8090/hls/11/index.m3u8
CCTV4,http://121.24.98.71:8090/hls/12/index.m3u8
CCTV5,http://121.24.98.71:8090/hls/13/index.m3u8
CCTV6,http://121.24.98.71:8090/hls/14/index.m3u8
CCTV17,http://121.24.98.71:8090/hls/15/index.m3u8
CCTV8,http://121.24.98.71:8090/hls/16/index.m3u8
CCTV9,http://121.24.98.71:8090/hls/17/index.m3u8
CCTV10,http://121.24.98.71:8090/hls/18/index.m3u8
CCTV11,http://121.24.98.71:8090/hls/19/index.m3u8
CCTV12,http://121.24.98.71:8090/hls/20/index.m3u8
