🌼香港频道测试V4,#genre#

凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰卫视,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,http://118.254.202.28:8888/udp/239.76.253.134:9000
凤凰资讯,http://118.254.202.28:8888/udp/239.76.246.135:1234
凤凰资讯,http://103.95.24.37:880/fhzx.m3u8
凤凰卫视,http://210.210.155.37/uq2663/h/h157/index2.m3u8
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,https://edge1.laotv.la/live/PhoenixNews/index.m3u8
凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191
凤凰卫视,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰资讯,http://118.254.202.28:8888/udp/239.76.246.8:1234
凤凰卫视,http://118.254.202.28:8888/udp/239.76.246.134:1234
凤凰卫视,http://118.254.202.28:8888/udp/239.76.253.135:9000
凤凰卫视,http://118.254.202.28:8888/udp/239.76.246.7:1234
凤凰卫视,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰资讯,http://117.27.190.42:9901/tsfile/live/23279_1.m3u8?
凤凰卫视,http://117.27.190.42:9901/tsfile/live/23280_1.m3u8?
凤凰卫视,http://giwon.ddns.net:5555/udp/239.93.0.162:2192
凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰卫视,http://tom028.top:55555/udp/239.93.0.162:2192
凤凰资讯,http:// tom028.top:55555/rtp/239.93.0.118:2191
凤凰资讯,http://tom028.top:55555/rtp/239.93.0.118:2191
凤凰资讯,http://fzcds.cn:8822/hls/80/index.m3u8
凤凰卫视,http://fzcds.cn:8822/hls/81/index.m3u8
凤凰资讯,http://221.7.175.154:8445/tsfile ... live=1&authid=0
凤凰资讯,http://113.64.145.84:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.228:8081/hls/36/index.m3u8
凤凰卫视,http://113.64.145.228:8081/hls/37/index.m3u8
凤凰卫视,http://110.72.72.180:808/hls/83/index.m3u8
凤凰资讯,http://103.95.24.37:880/fhzx.m3u8
凤凰卫视,http://103.95.24.37:880/fhws.m3u8
凤凰资讯,https://s2.pub/cctv-3
凤凰卫视,https://s2.pub/cctv-2
凤凰深圳旁边,https://s2.pub/cctv-1
凤凰资讯,http://lx.haoyuhuojia.com:4022/udp/233.50.200.192:5140
凤凰卫视,http://117.27.190.42:9901/tsfile ... live=1&authid=0
凤凰资讯,http://117.27.190.42:9901/tsfile ... live=1&authid=0
凤凰卫视,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
凤凰卫视,http://139.201.170.142:4022/udp/239.93.28.9:2192
凤凰资讯,http://139.201.170.142:4022/udp/239.93.28.4:2191
凤凰资讯,https://tv.sd.cn/sichuan?id=239.93.0.118:2191
凤凰卫视,https://tv.sd.cn/sichuan?id=239.93.0.162:2192
凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.1.4:2191
凤凰资讯,http://www.372583307.top:4022/udp/233.50.200.192:5140
凤凰资讯,mitv://generationnexxxt.com:19806/6684e9f6606f49fba9b6de846dbdcb64
凤凰资讯,http://50.7.238.114:8278/phoenix ... f74838380086dce3e44
凤凰资讯,http://198.16.100.90:8278/phoeni ... 98ea603b13ef749a84e
凤凰资讯,http://198.16.100.90:8278/phoeni ... db64b6c03601da1e0e0
凤凰资讯,http://198.16.100.90:8278/phoeni ... f74838380086dce3e44
凤凰卫视,http://198.16.100.90:8278/phoeni ... 14ab83db57245220068
凤凰卫视,http://120.238.13.198:8000/hls/20/index.m3u8
凤凰卫视,http://50.7.238.114:8278/phoenix ... bd534c9cef5e2c17c1c
凤凰卫视,mitv://generationnexxxt.com:19806/64e1ab2a000417167359b3ca0417008f
凤凰资讯,http://vl15191373.imwork.net:8880/udp/239.93.1.4:2191
凤凰资讯,http://117.27.190.42:9901/tsfile/live/23279_1.m3u8?
凤凰卫视,http://117.27.190.42:9901/tsfile/live/23280_1.m3u8?
凤凰资讯,http://giwon.ddns.net:5555/udp/239.93.0.118:2191
凤凰卫视,http://giwon.ddns.net:5555/udp/239.93.0.162:2192
凤凰卫视,http://kuanglong.vicp.hk:2121/udp/239.93.16.31:8012
凤凰资讯,http://kuanglong.vicp.hk:2121/udp/239.93.16.118:8708
