//公众号【天微科技】0116更新
//http://tvkj.top/tvlive.txt

👉👉公告,#genre#
更新: 2024.02.02,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8?
CCTV13 新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV13 新闻,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV13 新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8

993,http://media-proxy.yy.com/livesystem/15013_xv_22490906_22490906_0_2_0-15013_xa_22490906_22490906_0_0_0.m3u8?org=yyweb&uuid=3d18ecb6f9554decba78c9918ffd41a5&t=1710168080&tk=96980b26afa4daf015608305fd14d7c7
993,http://media-proxy.yy.com/livesystem/15013_xv_22490906_22490906_0_0_0-15013_xa_22490906_22490906_0_0_0.m3u8?org=yyweb&uuid=e103ffe1ed1a4222b0baf22fbec4338d&t=1710168081&tk=ee4bb452394ecb95e32d076095954e55
路威小嫣然,http://media-proxy.yy.com/livesystem/15013_xv_57497997_57497997_0_2_0-15013_xa_57497997_57497997_0_0_0.m3u8?org=yyweb&uuid=e4140a11b04b49ccac7ffe3db1ee2f25&t=1710168081&tk=8004f85cdd497eeb37b8516df07a516b
路威小嫣然,http://media-proxy.yy.com/livesystem/15013_xv_57497997_57497997_0_0_0-15013_xa_57497997_57497997_0_0_0.m3u8?org=yyweb&uuid=a04c428f0f5c45f5a097896db786a59d&t=1710168081&tk=96e623d105df6d80fa958a7c003ad413
温馨美人兰梦莎,http://media-proxy.yy.com/livesystem/15013_xv_90144176_90144176_0_2_0-15013_xa_90144176_90144176_0_0_0.m3u8?org=yyweb&uuid=0c88e7115724423fb0a12782cbb26ec4&t=1710168083&tk=90b6fbbbe17fb12feef1c88f7cbec993
温馨美人兰梦莎,http://media-proxy.yy.com/livesystem/15013_xv_90144176_90144176_0_0_0-15013_xa_90144176_90144176_0_0_0.m3u8?org=yyweb&uuid=bc9236621244488cbba507eae9f85114&t=1710168083&tk=836850a35feee74744ed4593455d112a
南淳,http://media-proxy.yy.com/livesystem/15013_xv_37331053_37331053_0_2_0-15013_xa_37331053_37331053_0_0_0.m3u8?org=yyweb&uuid=6b8f4f6fa92140c782399735b20ab3a3&t=1710168084&tk=ce8501c06a2165b6f89cc23878ed7e4d
南淳,http://media-proxy.yy.com/livesystem/15013_xv_37331053_37331053_0_0_0-15013_xa_37331053_37331053_0_0_0.m3u8?org=yyweb&uuid=a80eb012bb7648dfbbc623483c13d316&t=1710168083&tk=2b073be5e8a30957b93231c1c5635d85
火辣热舞丁丁,http://media-proxy.yy.com/livesystem/15013_xv_21714822_21714822_0_2_0-15013_xa_21714822_21714822_0_0_0.m3u8?org=yyweb&uuid=ba7ea9e856604c0b9d9e813fa8e16193&t=1710168084&tk=0d58e77b4f018da5b1179ebbd1ef21e9
火辣热舞丁丁,http://media-proxy.yy.com/livesystem/15013_xv_21714822_21714822_0_0_0-15013_xa_21714822_21714822_0_0_0.m3u8?org=yyweb&uuid=5321f5976a4242e3b55be054647aa0ef&t=1710168085&tk=a77566d0ec7ed9aec8b47f5bd9cb67a6
不许进来喊老婆[燃舞蹈-珊瑚],http://media-proxy.yy.com/livesystem/15013_xv_1349695640_1349695640_0_0_0-15013_xa_1349695640_1349695640_0_0_0.m3u8?org=yyweb&uuid=3e0e685aa1b44136969b15ccab096738&t=1710168865&tk=69a130c781322f88f43d795651c26b09
曾好,http://media-proxy.yy.com/livesystem/15013_xv_50896445_50896445_0_0_0-15013_xa_50896445_50896445_0_0_0.m3u8?org=yyweb&uuid=191210936f604fc4927b3069a747dba7&t=1710170694&tk=d9b5afc4d3123ea52155b06ec3b60358
【耀娱】莹依-兮兮-柚,http://media-proxy.yy.com/livesystem/15013_xv_1356379547_1356379547_0_0_0-15013_xa_1356379547_1356379547_0_0_0.m3u8?org=yyweb&uuid=bbe8e344461a4193b37a88de0b0a3a27&t=1710169611&tk=3c5d914ace0ac57f3d5f5cde6cbe83bd
纯欲热舞 范程程,http://media-proxy.yy.com/livesystem/15013_xv_1461909609_1461909609_0_0_0-15013_xa_1461909609_1461909609_0_0_0.m3u8?org=yyweb&uuid=7428d0d774b441dd84ef503c20aa4585&t=1710170353&tk=85503dd749aef567efcf5f50b92197cf
甜美小精灵叶子,http://media-proxy.yy.com/livesystem/15013_xv_22065835_22065835_0_0_0-15013_xa_22065835_22065835_0_0_0.m3u8?org=yyweb&uuid=b186ac1579924f2c8bd06a522162615d&t=1710172538&tk=05a314b44c5e5d24c6d55a11ee579721
燃舞蹈-小叶子18点开,http://media-proxy.yy.com/livesystem/15013_xv_1346329801_1346329801_0_0_0-15013_xa_1346329801_1346329801_0_0_0.m3u8?org=yyweb&uuid=76ff0391d7c34c42b7a9827b759624dc&t=1710172399&tk=5dd2bb6a84aa4680cc6ec1d59742e02d

性感尤物S曲线娅儿,23239341
气质佳人嫚儿,1354871831

长沙小希含,http://media-proxy.yy.com/livesystem/15013_xv_1355554030_1355554030_0_0_0-15013_xa_1355554030_1355554030_0_0_0.m3u8?org=yyweb&uuid=37834cfa36584dac85f11e5a7e6c2349&t=1709832659&tk=ef3a13d2cf52f9d1dba0f92c90a6f08e
可甜可盐恩恩子,http://media-proxy.yy.com/livesystem/15013_xv_1352457828_1352457828_0_0_0-15013_xa_1352457828_1352457828_0_0_0.m3u8?org=yyweb&uuid=686a7ace38cb4c5281514379875b6369&t=1709832687&tk=af7178cfa5b718742bed329d4ebe9a84
超乖型，乐乐,http://media-proxy.yy.com/livesystem/15013_xv_1354053579_1354053579_0_0_0-15013_xa_1354053579_1354053579_0_0_0.m3u8?org=yyweb&uuid=319ea1599d48497a945db74f4e1931d9&t=1709832726&tk=5602bb55ca5056f2d3b7afb4394f1ad4
甜系女孩已上线,http://media-proxy.yy.com/livesystem/15013_xv_1453767988_1453767988_0_0_0-15013_xa_1453767988_1453767988_0_0_0.m3u8?org=yyweb&uuid=18823b08ffd04e69b1639484f16a1fc6&t=1709832758&tk=c217efdc2896c2372145eefebd3b339c

妩媚撩人热舞陈依依,http://media-proxy.yy.com/livesystem/15013_xv_1354955656_1354955656_0_0_0-15013_xa_1354955656_1354955656_0_0_0.m3u8?org=yyweb&uuid=720db4eb40ce4ad189d5face0315612a&t=1709832820&tk=a10c74cac80103f7b53d7cd17dfc18cf
媚眼如丝阿狸,http://media-proxy.yy.com/livesystem/15013_xv_22091653_22091653_0_0_0-15013_xa_22091653_22091653_0_0_0.m3u8?org=yyweb&uuid=1c676f5fe54a4952bb38e8a4312494bd&t=1709832839&tk=692b225e46b776225d4df1050c5d7ea8
纯欲新主播,http://media-proxy.yy.com/livesystem/15013_xv_1355287281_1355287281_0_0_0-15013_xa_1355287281_1355287281_0_0_0.m3u8?org=yyweb&uuid=ea3d0daed021499b823c63a4ba29457b&t=1709832873&tk=2ad949e88dd3860c462f249f70d85e0a
你的理想型,http://media-proxy.yy.com/livesystem/15013_xv_1351841360_1351841360_0_0_0-15013_xa_1351841360_1351841360_0_0_0.m3u8?org=yyweb&uuid=d0ec79eca2064c8ab65b6bfbea0d596e&t=1709832894&tk=3b7f7c8f358f281c36587873fc9b26a2
有趣的灵魂万里挑一,http://media-proxy.yy.com/livesystem/15013_xv_1354686110_1354686110_0_0_0-15013_xa_1354686110_1354686110_0_0_0.m3u8?org=yyweb&uuid=deebe44f592d4681bfdaae0a8db2305b&t=1709832935&tk=ac26a4e6ecdcedfb101a3bea1abaa38c
魅惑迷人舞喵小妍,http://media-proxy.yy.com/livesystem/15013_xv_75326027_75326027_0_0_0-15013_xa_75326027_75326027_0_0_0.m3u8?org=yyweb&uuid=bc35f413f7d14136a05ba57309a0b8c7&t=1709832958&tk=54380c3ebb2e2e3fce90363f8a86ba91
浙江晴晴性感热舞中,http://media-proxy.yy.com/livesystem/15013_xv_13056886_13056886_0_0_0-15013_xa_13056886_13056886_0_0_0.m3u8?org=yyweb&uuid=b9007b3372d1455b81fae75b8d327609&t=1709833004&tk=86bf63366abb4568bc7300656d67e129
气质御姐极致女人味,http://media-proxy.yy.com/livesystem/15013_xv_79500821_79500821_0_0_0-15013_xa_79500821_79500821_0_0_0.m3u8?org=yyweb&uuid=0a6470138e7046ff82502209286d242e&t=1709833037&tk=cd256b9efeda76ae32ce15f50d92d442
看似扭捏实则拿捏,http://media-proxy.yy.com/livesystem/15013_xv_21787231_21787231_0_0_0-15013_xa_21787231_21787231_0_0_0.m3u8?org=yyweb&uuid=04bd324163da442db2ae93682190d6b3&t=1709833065&tk=25b204a3aae5bb349229fad1c23ddba7

燃舞蹈小七,http://media-proxy.yy.com/livesystem/15013_xv_1355485571_1355485571_0_0_0-15013_xa_1355485571_1355485571_0_0_0.m3u8?org=yyweb&uuid=be8d169539364db1a9d5d5f50a0a93a3&t=1709834087&tk=c31c3c714d9724d5ed2150f55d6aa07d
华矩凡凡,http://media-proxy.yy.com/livesystem/15013_xv_77467679_77467679_0_0_0-15013_xa_77467679_77467679_0_0_0.m3u8?org=yyweb&uuid=e05c362a39d5403f9a950ec985d2b640&t=1709833947&tk=0e7a4d1a9d8aedd9db9cf3499a791fd0
遇见是天意拥有是幸运,http://media-proxy.yy.com/livesystem/15013_xv_1354678828_1354678828_0_0_0-15013_xa_1354678828_1354678828_0_0_0.m3u8?org=yyweb&uuid=da6b87b6a725422cb7284c0078569da2&t=1709833805&tk=1e480c810a04f8b82d50420d7da693f5
魅力唱跳女神,http://media-proxy.yy.com/livesystem/15013_xv_1345945961_1345945961_0_0_0-15013_xa_1345945961_1345945961_0_0_0.m3u8?org=yyweb&uuid=3335d487b6f544ad960caaf3a5c35628&t=1709833722&tk=4b74e8037646e1cf3337e4a2d479834f
热舞女神梦梦子,http://media-proxy.yy.com/livesystem/15013_xv_1455604800_1455604800_0_0_0-15013_xa_1455604800_1455604800_0_0_0.m3u8?org=yyweb&uuid=7f87a4341a494b92b652fcaf683ed84b&t=1709833656&tk=def62ad1ab496591156dc508e7b4cf4c
空中舞可可,http://media-proxy.yy.com/livesystem/15013_xv_49763468_49763468_0_0_0-15013_xa_49763468_49763468_0_0_0.m3u8?org=yyweb&uuid=b43b872e149b42d2add23dea5463190d&t=1709833601&tk=719e473dbafba9e1f4d185cb483ac0ea
气质佳人乖小艺,http://media-proxy.yy.com/livesystem/15013_xv_1351753175_1351753175_0_0_0-15013_xa_1351753175_1351753175_0_0_0.m3u8?org=yyweb&uuid=f0a9ad3100864f99ac79fdc190cda8fe&t=1709833513&tk=c1a7c310b6b264b7b803a3303156f07d
S型性感热舞深深,http://media-proxy.yy.com/livesystem/15013_xv_1382671181_1382671181_0_0_0-15013_xa_1382671181_1382671181_0_0_0.m3u8?org=yyweb&uuid=a9a95b2d33b64a66a7e94bfea781a0a9&t=1709833447&tk=7d96793300250ba97a8e58213a28ccb9
甜系女孩已上线,http://media-proxy.yy.com/livesystem/15013_xv_1453767988_1453767988_0_0_0-15013_xa_1453767988_1453767988_0_0_0.m3u8?org=yyweb&uuid=2d35b5be7ee94ef4b581d148077e397e&t=1709833307&tk=b7cd65af7af327e794815e59830fe6aa
有趣的灵魂万里挑一,http://media-proxy.yy.com/livesystem/15013_xv_1354686110_1354686110_0_0_0-15013_xa_1354686110_1354686110_0_0_0.m3u8?org=yyweb&uuid=2f691ab99b904d49b50afa56cd62d9ce&t=1709833235&tk=0bdcd8b802b4d1c165c9ce6565ba1df5

📡百视有线,#genre#
百视独播, https://bp-caster.bestv.com.cn/944/3/video.m3u8
百视独播,https://bp-caster.bestv.com.cn/944/3/video.m3u8
百视TV1,https://bp-caster.bestv.com.cn/943/3/video.m3u8
百视TV2,https://bp-caster.bestv.com.cn/926/3/video.m3u8
百视TV3,https://bp-caster.bestv.com.cn/945/3/video.m3u8
百视TV4,https://bp-caster.bestv.com.cn/900/3/video.m3u8
百视TV5,https://bp-caster.bestv.com.cn/956/3/video.m3u8
