//https://atomgit.com/sxtv/sxtv/raw/master/zb.txt


华视IPV4,#genre#
CCTV1,http://220.194.178.58:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://220.194.178.58:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://220.194.178.58:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://220.194.178.58:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://220.194.178.58:8888/newlive/live/hls/6/live.m3u8
CCTV5+,http://220.194.178.58:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://220.194.178.58:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://220.194.178.58:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://220.194.178.58:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://220.194.178.58:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://220.194.178.58:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://220.194.178.58:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://220.194.178.58:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://220.194.178.58:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://220.194.178.58:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://220.194.178.58:8888/newlive/live/hls/17/live.m3u8
CCTV16,http://220.194.178.58:8888/newlive/live/hls/18/live.m3u8
北京卫视,http://220.194.178.58:8888/newlive/live/hls/19/live.m3u8
东方卫视,http://220.194.178.58:8888/newlive/live/hls/20/live.m3u8
广东卫视,http://220.194.178.58:8888/newlive/live/hls/21/live.m3u8
江苏卫视,http://220.194.178.58:8888/newlive/live/hls/22/live.m3u8
湖南卫视,http://220.194.178.58:8888/newlive/live/hls/23/live.m3u8
浙江卫视,http://220.194.178.58:8888/newlive/live/hls/24/live.m3u8
安徽卫视,http://220.194.178.58:8888/newlive/live/hls/25/live.m3u8
广西卫视,http://220.194.178.58:8888/newlive/live/hls/26/live.m3u8
云南卫视,http://220.194.178.58:8888/newlive/live/hls/27/live.m3u8
深圳卫视,http://220.194.178.58:8888/newlive/live/hls/28/live.m3u8
贵州卫视,http://220.194.178.58:8888/newlive/live/hls/29/live.m3u8
山东卫视,http://220.194.178.58:8888/newlive/live/hls/30/live.m3u8
重庆卫视,http://220.194.178.58:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://220.194.178.58:8888/newlive/live/hls/32/live.m3u8
河南卫视,http://220.194.178.58:8888/newlive/live/hls/33/live.m3u8
湖北卫视,http://220.194.178.58:8888/newlive/live/hls/34/live.m3u8
吉林卫视,http://220.194.178.58:8888/newlive/live/hls/35/live.m3u8
甘肃卫视,http://220.194.178.58:8888/newlive/live/hls/36/live.m3u8
西藏卫视,http://220.194.178.58:8888/newlive/live/hls/37/live.m3u8
新疆卫视,http://220.194.178.58:8888/newlive/live/hls/38/live.m3u8
青海卫视,http://220.194.178.58:8888/newlive/live/hls/39/live.m3u8
宁夏卫视,http://220.194.178.58:8888/newlive/live/hls/40/live.m3u8
陕西卫视,http://220.194.178.58:8888/newlive/live/hls/41/live.m3u8
山西卫视,http://220.194.178.58:8888/newlive/live/hls/42/live.m3u8
辽宁卫视,http://220.194.178.58:8888/newlive/live/hls/43/live.m3u8
天津卫视,http://220.194.178.58:8888/newlive/live/hls/44/live.m3u8
河北卫视,http://220.194.178.58:8888/newlive/live/hls/45/live.m3u8
黑龙江卫视,http://220.194.178.58:8888/newlive/live/hls/46/live.m3u8
东南卫视,http://220.194.178.58:8888/newlive/live/hls/47/live.m3u8
江西卫视,http://220.194.178.58:8888/newlive/live/hls/48/live.m3u8
吉林卫视,http://220.194.178.58:8888/newlive/live/hls/49/live.m3u8
海南卫视,http://220.194.178.58:8888/newlive/live/hls/50/live.m3u8
黄河电视台,http://220.194.178.58:8888/newlive/live/hls/51/live.m3u8
山西经济,http://220.194.178.58:8888/newlive/live/hls/52/live.m3u8
山西影视,http://220.194.178.58:8888/newlive/live/hls/53/live.m3u8
山西法治,http://220.194.178.58:8888/newlive/live/hls/54/live.m3u8
山西文体,http://220.194.178.58:8888/newlive/live/hls/55/live.m3u8
金鹰卡通,http://220.194.178.58:8888/newlive/live/hls/56/live.m3u8
卡酷少儿,http://220.194.178.58:8888/newlive/live/hls/57/live.m3u8


陕西移动IPV4,#genre#
CCTV1,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV5,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV7,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225778/1.m3u8
CCTV8,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV9,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV13,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV14,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV16,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV女性时尚,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
CETV3,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
江西卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225764/1.m3u8
东南卫视,http://39.134.24.165/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225766/1.m3u8
