// https://52.lltv8.cn

猎狼 CCTV直播,#genre#

官网:LLTV8.TOP,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
QQ群:632539127,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
QQ频道:LielangTV8,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
更新时间2024.1.2,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8

CCTV1,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_3.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_4.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_17.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_5.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_6.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_7.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_8.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_9.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_10.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_11.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_12.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_13.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_14.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_15.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_16.m3u8?key=txiptv&playlive=1&authid=0
CCTV4欧洲,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_65.m3u8?key=txiptv&playlive=1&authid=0
CCTV4美洲,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_66.m3u8?key=txiptv&playlive=1&authid=0
CCTV16高清,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_92.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_74.m3u8?key=txiptv&playlive=1&authid=0
CCTV怀旧电影,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_75.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云剧场,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_76.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云足球,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_77.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云音乐,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_78.m3u8?key=txiptv&playlive=1&authid=0
CCTV央视台球,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_79.m3u8?key=txiptv&playlive=1&authid=0
CCTV央视文化精品,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_80.m3u8?key=txiptv&playlive=1&authid=0
CCTV世界地理,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_81.m3u8?key=txiptv&playlive=1&authid=0
CCTV兵器科技,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_82.m3u8?key=txiptv&playlive=1&authid=0
CCTV女性时尚,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_83.m3u8?key=txiptv&playlive=1&authid=0
CCTV电视指南,http://103.164.62.161:909/猎狼TV吧/PLTV/酒店/辽宁.php?id=tsfile/live/0001_67.m3u8?key=txiptv&playlive=1&authid=0
