皇家原创HD,#genre#
1,https://t.doruo.cn/16GOMkRLG#https://cdn4.11yun.cc/GAV2/66902/66902.m3u8

2,https://t.doruo.cn/16GOOTfWg#https://cdn4.11yun.cc/GAV2/66901/66901.m3u8

3,https://t.doruo.cn/16GOQAQIE#https://cdn5.11yun.cc/GAV2/30349/30349.m3u8

4,https://t.doruo.cn/16GOSirv2#https://cdn5.11yun.cc/GAV2/29225/29225.m3u8

麻豆传媒HD,#genre#
MKY-WM008,https://t.doruo.cn/16x6oGRz2

MDHS0007,https://t.doruo.cn/16x6rwQRG

MDX0219,https://t.doruo.cn/16x6umQak

猫爪传媒HD,#genre#
MMZ004,https://t.doruo.cn/16x7jsDzW 

MMZ024,https://t.doruo.cn/16x7lrPuo

MMZ018,https://t.doruo.cn/16x7ohON2

微密传媒HD,#genre#
WMOG-019,https://t.doruo.cn/16x7S5HrO

WMOG-018,https://t.doruo.cn/16x7TNiec

WMOG-017,https://t.doruo.cn/16x7VMu8E

91   传媒HD,#genre#
91CM080,https://t.doruo.cn/16x8nBaSY

91YCM015,https://t.doruo.cn/16x8pRXVu

91CM246,https://t.doruo.cn/11NQUEh0Y

果冻传媒HD,#genre#
GDCM034,https://t.doruo.cn/16xalEGOI

GDCM-064,https://t.doruo.cn/16xanDSJa

GDCM-065,https://t.doruo.cn/16xapD4DC

香蕉传媒HD,#genre#
XJX-0100,https://t.doruo.cn/16xg1UTeM

XJX-0103,https://t.doruo.cn/16xg5BFVC

XJX-0088,https://t.doruo.cn/16xg9RESA

气度传媒HD,#genre#
QDOG008,https://t.doruo.cn/16xh2VQ76

QDOG010,https://t.doruo.cn/16xh5cD9C

QDOG005,https://t.doruo.cn/16xh7bP44

兔子传媒HD,#genre#
双子兄弟EP4,https://t.doruo.cn/16xl0sRCU

 秘密女搜查官,https://t.doruo.cn/16xl2s3xm

公室激情性爱,https://t.doruo.cn/16xl4rfrO

扣扣传媒HD,#genre#
QQOG043,https://t.doruo.cn/16DyBXS0M

QQOG037,https://t.doruo.cn/16DyENRjq

QQOG003,https://t.doruo.cn/16DyHDQC4

日本超清HD,#genre#
120320,https://s2.pub/2uf#https://cdn5.11yun.cc/WAV2/120320_001/120320_001_49191.m3u8

101322,https://s2.pub/2ug

042921,https://s2.pub/2uh

080522,https://s2.pub/2ui
古装超清HD,#genre#
天龙八部之逍遥圣女,https://t.doruo.cn/16DyXOZ1K

上错花轿嫁对郎,https://t.doruo.cn/16DyZOaWc

金瓶梅,https://t.doruo.cn/16Dz24XYI

✴️古装三级,#genre#
青楼名女支之李香君,https://v6.jindangao.com/hj/hj2/hj21/10/hls/index.m3u8
人细鬼大,https://v6.jindangao.com/hj/hj2/hj22/10/hls/index.m3u8
